Hi.	Salut!
I paid in cash.	J'ai payé en espèce.
I raise cattle.	J'élève du bétail.
I remember you.	Je me souviens de vous.
I saw her home.	Je l'ai vue à son domicile.
I saw the file.	J'ai vu le fichier.
I started that.	C'est moi qui ai commencé.
I took her arm.	Je lui pris le bras.
I walked alone.	J'ai cheminé seul.
I want answers.	Je veux des réponses.
I want to quit.	Je veux abandonner.
I wanted to go.	Je voulais partir.
I was careless.	J'étais insouciante.
I was offended.	J'ai été offensée.
I was too fast.	J'ai été trop rapide.
I wasn't hired.	On ne m'a pas recrutée.
I will take it.	Je le prendrai.
I'd be honored.	Je serais honorée.
I'll be honest.	Je serai honnête.
I'll go anyway.	J'irai, de toutes façons.
I'll marry you.	Je t'épouserai.
I'll stay here.	Je resterai ici.
I'll try again.	Je vais réessayer.
I'm a merchant.	Je suis un marchand.
I'm all thumbs.	Je suis maladroit.
I'm dehydrated.	Je suis déshydratée.
I'm farsighted.	Je vois loin.
I'm happy here.	Je suis heureuse, ici.
I'm interested.	Je suis intéressée.
I'm methodical.	Je suis méthodique.
I'm not asleep.	Je ne suis pas endormie.
I'm not joking.	Je ne plaisante pas.
I'm not sleepy.	Je ne suis pas endormi.
I'm one of you.	Je suis l'un d'entre vous.
I'm remodeling.	Je suis en train de réaménager.
I'm still here.	Je suis encore ici.
I'm unemployed.	Je suis au chômage.
I'm very happy.	Je suis très heureuse.
I'm wide awake.	Je suis tout à fait éveillée.
I've messed up.	J'ai tout foutu en l'air.
I've upset you.	Je t'ai contrariée.
Is he Japanese?	Est-il japonais ?
Is lunch ready?	Est-ce que le déjeuner est prêt ?
Is that better?	Est-ce meilleur ?
Is that so bad?	Est-ce tellement mal ?
Isn't it scary?	N'est-il pas effrayant ?
It has to stop.	Ça doit s'arrêter.
It sounds easy.	Ça semble facile.
It was snowing.	Il neigeait.
It wasn't mine.	Ce n'était pas le mien.
It's a miracle.	C'est un miracle.
It's all yours.	Il est tout à vous.
It's brand new.	C'est flambant neuf.
It's no secret.	Ce n'est pas un secret.
It's not weird.	Ce n'est pas bizarre.
It's the truth.	C'est la vérité.
It's up to you.	Ça dépend de vous.
It's what I am.	C'est ce que je suis.
Just ignore it.	Tu n'as qu'à l'ignorer !
Keep searching.	Continue à chercher.
Leave me alone!	Laisse-moi seule !
Leave my house.	Quittez ma maison !
Let Tom decide.	Laissons Tom décider.
Let's ask them.	Demandons-leur.
Let's get home.	Rentrons.
Let's try that.	Essayons cela.
Lock the doors.	Verrouillez les portes !
Make it larger.	Agrandissez-le.
Many fish died.	De nombreux poissons périrent.
May I use this?	Puis-je utiliser ceci ?
My name is Tom.	Je me nomme Tom.
No one escaped.	Personne ne s'est évadé.
No one laughed.	Personne n'a ri.
Now I remember.	Maintenant je me rappelle.
Open your hand.	Ouvre la main !
Please help me.	Je te prie de m'aider.
Prices went up.	Les prix montèrent.
Relax a moment.	Détendez-vous un instant !
School is over.	L'école est terminée.
She came alone.	Elle est venue seule.
She gave money.	Elle a donné de l'argent.
She hugged him.	Elle l'enlaça.
She kicked him.	Elle lui a donné un coup de pied.
She looked ill.	Elle semblait malade.
She smells bad.	Elle sent mauvais.
She's a beauty.	Elle est très belle.
She's not here.	Elle n'est pas ici.
Should we wait?	Devrions-nous attendre ?
Sing me a song.	Chante-moi une chanson.
Snap out of it!	Revenez à vous !
Stop screaming.	Cesse de hurler !
Take your shot.	À toi de tirer !
Thanks so much.	Merci bien.
That was sweet.	C'était sucré.
That's alright.	Ça convient.
That's logical.	C'est logique.
That's not why.	Ça n'en est pas la raison.
The baby cried.	Le bébé a pleuré.
Their eyes met.	Leurs regards se croisèrent.
They all drank.	Elles ont toutes bu.
They found out.	Ils ont découvert le truc.
They have come.	Elles sont venues.
They let me go.	Ils m'ont laissée partir.
They look cool.	Ils ont l'air détendus.
They struggled.	Ils ont morflé.
They were busy.	Ils étaient occupés.
They're coming.	Ils arrivent.
Think positive.	Pense positivement.
This is a fake.	Il s'agit d'un faux.
This is absurd.	C'est absurde.
This is simple.	C'est simple.
Throw it there.	Jette-le là !
Tom apologized.	Tom s'est excusé.
Tom fired Mary.	Tom a renvoyé Mary.
Tom is a felon.	Tom est un félon.
Tom is kidding.	Tom rigole.
Tom is sincere.	Tom est sincère.
Tom isn't dumb.	Tom n'est pas débile.
Tom likes rock.	Tom aime le rock.
Tom made plans.	Tom a fait des plans.
Tom seems nice.	Tom a l'air gentil.
Tom was better.	Tom était meilleur.
Tom won't mind.	Ça ne dérangera pas Tom.
Tom's innocent.	Tom est innocent.
Try to find it.	Tentez de le trouver.
Watch the door.	Surveille la porte !
We all knew it.	Nous le savions toutes.
We are doctors.	Nous sommes médecins.
We had a fight.	On s'est battus.
We have a deal.	Nous avons conclu un accord.
We knew enough.	Nous en savions assez.
We met earlier.	Nous nous sommes rencontrées plus tôt.
We need to eat.	Il nous faut manger.
We should wait.	Nous devrions attendre.
We were beaten.	Nous avons été battus.
We'll miss Tom.	Tom nous manquera.
We're all done.	Nous en avons complètement fini.
We're divorced.	Nous sommes divorcés.
We're grateful.	Nous sommes reconnaissantes.
We're not home.	Nous ne sommes pas à la maison.
We're not sure.	Nous ne sommes pas sûres.
We're punctual.	Nous sommes ponctuelles.
We're stubborn.	Nous sommes têtus.
We're too busy.	Nous sommes trop occupées.
Well done, Tom.	Bravo, Tom.
Were you there?	Y étiez-vous ?
What about you?	Et vous ?
What do you do?	Que faites-vous ?
Where's an ATM?	Où y a-t-il un DAB ?
Who cleaned it?	Qui l'a nettoyée ?
Who kissed you?	Qui vous a embrassées ?
Who will do it?	Qui le fera ?
Who's watching?	Qui est en train de regarder ?
Wipe your eyes.	Essuyez-vous les yeux.
You aren't Tom.	Tu n'es pas Tom.
You have to go.	Tu dois y aller.
You look great.	Tu as l'air super.
You look smart.	Vous avez l'air intelligentes.
You may refuse.	Vous pouvez refuser.
You owe me one.	Tu m'en dois une.
You seem happy.	Vous semblez heureuse.
You smashed it.	Tu l'as détruit.
You write well.	Vous écrivez bien.
You're a child.	Tu es un enfant.
You're all mad.	Vous êtes toutes folles.
You're awesome.	Tu es géniale.
You're finicky.	Tu es tatillonne.
You're foolish.	Vous êtes imprudentes.
You're in luck.	Vous êtes veinarde.
You're kidding!	Tu plaisantes !
You're nervous.	Tu es nerveuse.
You're not fat.	Vous n'êtes pas grosses.
You're psyched.	T'es remontée.
You're so mean.	Tu es si méchante.
You're too big.	Tu es trop grand.
You're welcome.	Je t'en prie.
A fish can swim.	Un poisson peut nager.
Am I boring you?	Est-ce que je vous ennuie ?
Are those yours?	Est-ce les tiens ?
Are you a ghost?	Es-tu un fantôme ?
Are you certain?	En êtes-vous sûres ?
Are you envious?	Êtes-vous envieux ?
Are you excited?	Es-tu énervé ?
Are you injured?	Es-tu blessé ?
Are you kidding?	Vous plaisantez ?
Are you nervous?	Êtes-vous nerveuse ?
Are you relaxed?	Êtes-vous détendus ?
Are you sisters?	Êtes-vous sœurs ?
Are you unlucky?	Êtes-vous malchanceuse ?
Aren't we lucky?	Ne sommes-nous pas chanceux ?
Be careful, Tom.	Fais attention, Tom.
Be very careful.	Sois très prudente !
Boy was I naive.	Dieu que j'étais naïve !
Call me anytime.	Appelle-moi quand tu veux.
Can I pay later?	Puis-je payer plus tard?
Can they see us?	Peuvent-elles nous voir ?
Can you hear us?	Arrivez-vous à nous entendre ?
Can you see Tom?	Pouvez-vous voir Tom ?
Cats like boxes.	Les chats aiment les boîtes.
Close that door.	Ferme cette porte !
Come and get it.	Viens la chercher.
Come in already.	Entre, déjà !
Congratulations!	Toutes nos félicitations !
Did I miss much?	Ai-je beaucoup loupé ?
Did she like it?	Elle a aimé ?
Did you hear it?	L'as-tu entendu ?
Did you need me?	Aviez-vous besoin de moi ?
Do I look tired?	Ai-je l'air fatiguée ?
Do you eat fish?	Mangez-vous du poisson ?
Do you know Tom?	Vous connaissez Tom ?
Do you like rap?	Tu aimes le rap ?
Do you think so?	Penses-tu la même chose ?
Do your own job.	Faites votre propre travail !
Don't be afraid.	N'aie pas peur.
Don't cheat him.	Ne le trompe pas.
Don't interfere.	Ne t'en mêle pas !
Don't lose hope.	Ne perds pas espoir.
Don't run risks.	Ne courez pas de risques.
Drive carefully.	Conduis avec prudence.
Everyone agrees.	Tout le monde est d'accord.
Everyone smiled.	Tout le monde sourit.
Fasten the gate.	Attachez la grille s'il vous plait.
Get in the boat.	Monte dans le bateau !
Get rid of them.	Débarrassez-vous d'eux !
Give Tom a call.	Appelez Tom.
Give me a drink.	Donnez-moi quelque chose à boire !
Go grab a drink.	Va attraper un verre !
Go to the store.	Va au magasin !
God sent a sign.	Dieu envoya un panneau.
Hand me a towel.	Passez-moi une serviette.
He began to cry.	Il s'est mis à pleurer.
He bought a hat.	Il a acheté un chapeau.
He drank a beer.	Il but une bière.
He hardly works.	Il travaille à peine.
He has ten cows.	Il possède dix vaches.
He is a painter.	C'est un peintre.
He is unmarried.	Il est célibataire.
He lost his job.	Il perdit son travail.
He made me sing.	Il m'a fait chanter.
He puts on airs.	Il prend des airs.
He seems honest.	Il semble être honnête.
He was speaking.	Il parlait.
He wore glasses.	Il portait des lunettes.
He's a real man.	C'est un vrai mec.
He's my partner.	C'est mon partenaire.
He's wide awake.	Il est tout à fait éveillé.
Here I am again.	Me voici à nouveau.
His name is mud.	Il a mauvaise réputation.
How are you now?	Comment allez-vous maintenant ?
How big you are!	Comme vous êtes grandes !
How did it feel?	Qu'avez-vous ressenti ?
How is your dad?	Comment va ton père ?
How's everybody?	Comment va tout le monde ?
Hurry up, girls.	Maniez-vous, les filles !
Hurry up, girls.	Bougez vos fesses, les filles !
I am a bachelor.	Je suis célibataire.
I am undressing.	Je me déshabille.
I beg to differ.	Je ne suis pas d'accord.
I called Tom up.	J'ai passé un coup de fil à Tom.
I can swim well.	Je sais bien nager.
I can't fake it.	Je ne peux pas le simuler.
I can't give up.	Je ne parviens pas à admettre ma défaite.
I caught a cold.	J'ai contracté un rhume.
I couldn't walk.	Je ne pouvais pas marcher.
I didn't listen.	Je n'ai pas écouté.
I don't do much.	Je ne fais pas grand chose.
I dried my face.	Je me suis séché le visage.
I feel betrayed.	Je me sens trahie.
I feel relieved.	Je me sens soulagé.
I felt left out.	Je me sentis exclu.
I follow orders.	J'obéis aux ordres.
I got over that.	J'ai surmonté ça.
I guessed right.	J'ai bien deviné.
I had no doubts.	Je n'ai rien flairé.
I hate politics.	Je déteste la politique.
I hate this job.	Je déteste ce boulot.
I have a lawyer.	J'ai un avocat.
I have diabetes.	Je suis diabétique.
I have no proof.	Je n'ai pas de preuve.
I have to sleep.	Il faut que je dorme.
I haven't tried.	Je n'ai pas essayé.
I hired a guide.	J'ai engagé une guide.
I just showered.	Je viens de prendre une douche.
I know Tom well.	J'ai bien connu Tom.
I know your son.	Je connais ton fils.
I like cartoons.	J'aime les dessins animés.
I like that one.	J'aime celui-là.
I like to party.	J'aime faire la fête.
I like your tie.	Ta cravate me plaît.
I lost my phone.	J'ai perdu mon téléphone.
I love swimming.	J'adore nager.
I love to sleep.	J'adore dormir.
I love you, too.	Je vous aime aussi.
I made that one.	J'ai réalisé celle-là.
I missed supper.	J'ai loupé le souper.
I must continue.	Je dois continuer.
I must go alone.	Il faut que je m'y rende seule.
I need a laptop.	J'ai besoin d'un ordinateur portable.
I need evidence.	Il me faut des preuves.
I need the tape.	J'ai besoin du Scotch.
I never said no.	Je n'ai jamais dit non.
I only need one.	Je n'en ai besoin que d'un.
I paid the bill.	Je réglais l'addition.
I ran for mayor.	Je me suis présenté comme mayeur.
I read the book.	J'ai lu le livre.
I remembered it.	Je m'en souvenais.
I saw him naked.	Je le vis nu.
I saw you there.	Je vous y ai vue.
I slept all day.	Je dormis tout le jour.
I think I agree.	Je pense être d'accord.
I understand it.	Je le comprends.
I want children.	Je veux des enfants.
I want this cat.	Je veux ce chat.
I want to sleep.	Je veux dormir.
I wanted to cry.	J'avais envie de pleurer.
I was born here.	Je suis né ici.
I was disgusted.	J'ai été dégoûté.
I was horrified.	Je fus horrifiée.
I was not drunk.	Je n’étais pas saoul.
I wasn't asleep.	Je n'étais pas assoupi.
I will miss you.	Tu vas me manquer.
I won't buy one.	Je n'en achèterai pas.
I wouldn't care.	Je n'en aurais rien à faire.
I'd like to eat.	J'aimerais manger.
I'll be careful.	Je serai prudente.
I'll destroy it.	Je le détruirai.
I'll never stop.	Je ne cesserai jamais.
I'll sleep here.	Je dormirai ici.
I'm a bit tipsy.	Je suis un peu éméchée.
I'm a lucky man.	Je suis un homme chanceux.
I'm about ready.	Je suis presque prête.
I'm at work now.	Je suis actuellement au travail.
I'm color-blind.	Je suis daltonien.
I'm extroverted.	Je suis extraverti.
I'm going crazy.	Je deviens fou.
I'm interfering.	Je me mêle de ce qui ne me regarde pas.
I'm new to this.	C'est nouveau pour moi.
I'm not a thief.	Je ne suis pas une voleuse.
I'm not leaving.	Je ne m'en vais pas.
I'm not selfish.	Je ne suis pas égoïste.
I'm on the roof.	Je suis sur le toit.
I'm rather busy.	Je suis plutôt occupé.
I'm resourceful.	Je suis pleine de ressources.
I'm the captain.	Je suis le capitaine.
I'm unambitious.	Je suis dépourvu d'ambition.
I'm very strict.	Je suis très strict.
I'm your sister.	Je suis votre sœur.
I've had enough.	J'en ai assez entendu.
Is Tom dreaming?	Tom est-il en train de rêver ?
Is he breathing?	Respire-t-il ?
Is it hazardous?	Est-ce dangereux ?
Is it your bike?	Est-ce que c'est ta bicyclette ?
Is that healthy?	Est-ce sain ?
Is this natural?	Est-ce naturel ?
Isn't this nice?	N'est-ce pas chouette ?
It isn't locked.	Il n'est pas verrouillé.
It seems likely.	Ça semble probable.
It was a gamble.	C'était un pari.
It was all over.	C'était fini.
It was personal.	C'était personnel.
It was unlocked.	Il était déverrouillé.
It's a big city.	C'est une grande ville.
It's a travesty.	C'est une parodie.
It's all I want.	C'est tout ce que je veux.
It's cool today.	Il fait frais aujourd'hui.
It's inadequate.	C'est insuffisant.
It's just money.	Il ne s'agit que d'argent.
It's no problem.	Ce n'est pas un problème.
It's not enough.	C'est insuffisant.
It's only blood.	Il ne s'agit que de sang.
It's really big.	C'est vraiment balaise.
It's still mine.	C'est néanmoins la mienne.
It's very close.	C'est très proche.
Jobs are scarce.	L'emploi est rare.
Keep it in mind.	Garde-le à l'esprit.
Koalas are cute.	Les koalas sont mignons.
Leave our house.	Quitte notre maison !
Let me help you.	Laisse-moi t'aider !
Let's get going.	Allons-y !
Let's live here.	Vivons ici !
Let's stop here.	Arrêtons-nous là.
Life isn't easy.	La vie n'est pas facile.
Look at the cat.	Regarde le chat.
Make a decision.	Décide-toi !
Make it smaller.	Rendez-la plus petite.
May I interrupt?	Puis-je t'interrompre ?
Maybe next time.	Peut-être la prochaine fois.
My answer is no.	Ma réponse est non.
My jeans shrank.	Mon jeans a rétréci.
Nature is scary.	La nature est terrifiante.
No one can help.	Personne ne peut aider.
No one got sick.	Personne ne tomba malade.
No one panicked.	Personne n'a paniqué.
No, I didn't go.	Non, je n'y suis pas allé.
Now go have fun.	Maintenant, allez vous amuser.
Open your mouth!	Ouvrez la bouche !
Please call him.	Appelle-le, s'il te plait.
Please sit down.	Assieds-toi, s'il te plaît.
Pour me a drink.	Versez-moi un verre !
Read this first.	Lisez ceci d'abord.
Science is cool.	La science, c'est sympa !
She forgave him.	Elle lui a pardonné.
She is a runner.	C'est une coureuse.
She looks young.	Elle a l'air jeune.
She scolded him.	Elle l'a grondé.
She tempted him.	Elle l'a incité.
She trusted you.	Elle avait confiance en vous.
She will try it.	Elle l'essayera.
She's my sister.	C'est ma sœur.
Show us the way.	Montrez-nous le chemin.
Speak your mind.	Dis ce que tu penses.
Stop being nosy.	Ne te mêle pas de ce qui ne te regarde pas.
Stop teasing me.	Arrêtez de me taquiner !
Take it, please.	Prenez ça, s'il vous plaît.
That can happen.	Cela peut arriver.
That is so cool.	C'est tellement sympa !
That won't work!	Ça ne va pas !
That's all I do.	C'est tout ce que je fais.
That's my fault.	C'est de ma faute.
That's not true.	Ce n'est pas vrai.
That's the word.	C'est le mot.
The air is damp.	L'air est humide.
The cat is lazy.	Le chat est paresseux.
The food's here.	La nourriture est arrivée.
The radio is on.	La radio est allumée.
The well is dry.	Le puits est à sec.
There's no cure.	Il n'y a pas de remède.
There's no rush.	Il n'y a pas d'urgence.
They all did it.	Ils le firent tous.
They can manage.	Ils peuvent gérer.
They feared you.	Ils te craignaient.
They left early.	Ils sont partis tôt.
